POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
3-BRSA-1355D-RJS,LIBRA,Santos,RJ,MAR,Petrobras,2017-11-01 06:10:00,2018-05-07 00:00:00,Sim,2018-03-29 00:00:00
3-PGN-21D-MA,PN-T-102,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2017-10-16 05:00:00,2017-11-06 00:00:00,Sim,2017-11-06 00:00:00
3-BRSA-1353D-RJS,LIBRA,Santos,RJ,MAR,Petrobras,2017-09-19 05:00:00,2018-01-16 00:00:00,Sim,2017-12-04 00:00:00
1-ALV-12-BA,TUC-T-177,Tucano Sul,BA,TERRA,Alvopetro,2017-08-29 18:00:00,2017-09-09 00:00:00,Não,
4-PGN-20DA-MA,PN-T-67,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2017-08-25 06:00:00,2017-08-31 00:00:00,Não,
4-PGN-20D-MA,PN-T-67,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2017-08-07 00:30:00,2017-08-25 00:00:00,Não,
4-PGN-19-MA,PN-T-49,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2017-07-18 04:00:00,2017-07-29 00:00:00,Sim,2017-07-31 00:00:00
1-BRSA-1351D-BA,REC-T-70,Recôncavo,BA,TERRA,Petrobras,2017-06-09 13:00:00,2017-09-20 00:00:00,Sim,2017-07-21 00:00:00
3-BRSA-1350-RJS,LIBRA,Santos,RJ,MAR,Petrobras,2017-06-05 05:40:00,2017-10-25 00:00:00,Sim,2017-09-05 00:00:00
1-BRSA-1348-RN,POT-T-613,Potiguar,RN,TERRA,Petrobras,2017-05-28 03:30:00,2017-08-09 00:00:00,Sim,2017-06-06 00:00:00
1-GOP-1A-BA,REC-T-107,Recôncavo,BA,TERRA,Great Oil,2017-05-19 22:54:00,2017-07-26 00:00:00,Sim,2017-08-04 00:00:00
1-GOP-1-BA,REC-T-107,Recôncavo,BA,TERRA,Great Oil,2017-04-16 04:30:00,2017-05-19 00:00:00,Não,
1-BRSA-1347D-BA,REC-T-70,Recôncavo,BA,TERRA,Petrobras,2017-03-20 03:00:00,2017-08-14 00:00:00,Sim,2017-05-19 00:00:00
1-GPK-1-BA,REC-T-94,Recôncavo,BA,TERRA,Geopark Brasil,2017-03-14 23:00:00,2017-04-08 00:00:00,Não,
1-IMET-21-BA,REC-T-76,Recôncavo,BA,TERRA,Imetame,2017-03-12 20:00:00,2017-04-04 00:00:00,Não,
4-BRSA-1346-RJS,LIBRA,Santos,RJ,MAR,Petrobras,2017-02-22 19:38:00,2017-06-03 00:00:00,Não,
1-RNB-1-AM,SOL-T-195,Solimões,AM,TERRA,Rosneft,2017-02-13 00:05:00,2017-04-17 00:00:00,Não,
3-BRSA-1345-RJS,LIBRA,Santos,RJ,MAR,Petrobras,2017-02-10 03:30:00,2017-09-05 00:00:00,Sim,2017-08-03 00:00:00
1-IMET-20D-BA,REC-T-76,Recôncavo,BA,TERRA,Imetame,2017-01-20 12:00:00,2017-02-17 00:00:00,Não,
4-TEK-2-BA,REC-T-153,Recôncavo,BA,TERRA,Tek,2017-01-15 17:30:00,,Não,
1-ALV-11-BA,REC-T-198,Recôncavo,BA,TERRA,Alvopetro,2017-01-15 00:15:00,2017-03-21 00:00:00,Sim,2017-01-31 00:00:00
1-TEK-1-BA,REC-T-153,Recôncavo,BA,TERRA,Tek,2016-10-02 16:30:00,2016-12-14 00:00:00,Sim,2016-12-26 00:00:00
